,Symbol,Name
348,RWL,RAWLPLUG
349,SAN,SANTANDER
350,SCO,SCOPAK
351,SEK,SEKO
352,SEL,SELENAFM
353,SEN,SERINUS
354,SES,SESCOM
355,SFG,SILVANO
356,SFS,SFINKS
357,SGN,SYGNITY
358,SGR,SADOVAYA
359,SHD,SOHODEV
360,SHG,STARHEDGE
361,SKA,SNIEZKA
362,SKH,SKARBIEC
363,SKL,SKYLINE
364,SKT,SKOTAN
365,SLV,SELVITA
366,SLZ,SLEEPZAG
367,SME,SIMPLE
368,SNK,SANOK
369,SNT,SYNEKTIK
370,SNW,SANWIL
371,SNX,SUNEX
372,SOL,SOLAR
373,SON,SONEL
374,SPH,SOPHARMA
375,SPL,SANPL
376,STF,STALPROFI
377,STP,STALPROD
378,STX,STALEXP
379,SUW,SUWARY
380,SVRS,SILVAIR-REGS
381,SWD,SWISSMED
382,SWG,SECOGROUP
383,TAR,TARCZYNSKI
384,TBL,TBULL
385,TEN,TSGAMES
386,TIM,TIM
387,TLX,TALEX
388,TMR,TATRY
389,TNX,TALANX
390,TOA,TOYA
391,TOR,TORPOL
392,TOW,TOWERINVT
393,TPE,TAURONPE
394,TRI,TRITON
395,TRK,TRAKCJA
396,TRN,TRANSPOL
397,TRR,TERMOREX
398,TSG,TESGAS
399,TXM,TXM
400,U2K,UNIMA
401,UCG,UNICREDIT
402,ULG,ULTGAMES
403,ULM,ULMA
404,UNI,UNIBEP
405,UNT,UNIMOT
406,URS,URSUS
407,VGO,VIGOSYS
408,VIN,VINDEXUS
409,VOT,VOTUM
410,VOX,VOXEL
411,VRG,VRG
412,VTI,VENTUREIN
413,VTL,VISTAL
414,VVD,VIVID
415,WAS,WASKO
416,WIK,WIKANA
417,WIS,WINVEST
418,WLT,WIELTON
419,WOJ,WOJAS
420,WPL,WIRTUALNA
421,WSE,WORKSERV
422,WTN,WITTCHEN
423,WWL,WAWEL
424,WXF,WARIMPEX
425,XTB,XTB
426,XTP,XTPL
427,YOL,YOLO
428,ZAP,PULAWY
429,ZEP,ZEPAK
430,ZMT,ZAMET
431,ZRE,ZREMB
432,ZST,ZASTAL
433,ZUE,ZUE
434,ZUK,STAPORKOW
435,ZWC,ZYWIEC
